reg;semaine;anxiete;anxiete_inf;anxiete_sup;depression;depression_inf;depression_sup;pbsommeil;pbsommeil_inf;pbsommeil_sup;hyg4mes;hyg4mes_inf;hyg4mes_sup;dist3mes;dist3mes_inf;dist3mes_sup;nbmoy7mes;nbmoy7mes_inf;nbmoy7mes_sup;nbmoy4mesHyg;nbmoy4mesHyg_inf;nbmoy4mesHyg_sup;dist1m;dist1m_inf;dist1m_sup;portmasque;portmasque_inf;portmasque_sup;;;
76;Vague 7 : 13-15 mai;12,6;8,5;18,2;14,4;9,9;20,4;64,3;56,9;71,0;46,5;39,3;53,9;;;;;;;2,94;2,76;3,11;70,5;63,3;76,8;49,2;41,9;56,6;;;
84;Vague 7 : 13-15 mai;17,6;13,2;23,1;12,9;9,3;17,8;65,0;58,7;70,8;46,4;40,2;52,8;;;;;;;3,03;2,89;3,17;71,4;65,2;76,9;48,9;42,6;55,2;;;
93;Vague 7 : 13-15 mai;19,3;13,9;26,3;13,9;9,3;20,3;64,2;56,4;71,4;48,3;40,6;56,2;;;;;;;2,94;2,74;3,14;67,7;60,0;74,6;46,6;38,9;54,5;;;
11;Vague 8 : 18-20 mai;15,9;12,5;20,0;13,0;10,0;16,9;61,1;55,9;66,0;42,1;37,1;47,3;;;;;;;2,91;2,79;3,04;62,9;57,8;67,8;55,3;50,1;60,4;;;
24;Vague 8 : 18-20 mai;16,9;10,2;26,6;8,2;3,9;16,2;59,0;47,9;69,2;41,4;31,2;52,4;;;;;;;2,68;2,39;2,97;65,8;54,8;75,3;52,8;41,9;63,4;;;
27;Vague 8 : 18-20 mai;20,6;13,8;29,7;9,5;5,1;16,8;61,1;51,1;70,3;40,1;30,9;50,0;;;;;;;2,82;2,56;3,09;60,5;50,4;69,8;45,4;35,8;55,3;;;
28;Vague 8 : 18-20 mai;16,0;10,2;24,2;10,6;6,1;17,8;64,2;54,8;72,7;39,0;30,3;48,5;;;;;;;2,76;2,52;3,00;64,5;55,0;73,0;47,4;38,1;56,8;;;
32;Vague 8 : 18-20 mai;18,9;13,7;25,4;13,1;8,8;19,0;64,7;57,2;71,6;41,7;34,6;49,3;;;;;;;2,84;2,65;3,04;65,9;58,4;72,8;49,5;42,0;56,9;;;
44;Vague 8 : 18-20 mai;19,7;14,1;26,7;10,3;6,3;16,2;68,8;61,0;75,7;48,9;41,0;56,8;;;;;;;2,94;2,74;3,14;67,5;59,7;74,4;52,3;44,4;60,2;;;
52;Vague 8 : 18-20 mai;15,6;10,1;23,3;13,9;8,8;21,2;59,6;50,6;68,0;30,4;23,0;38,9;;;;;;;2,55;2,33;2,78;52,1;43,2;60,9;48,5;39,8;57,4;;;
